STATE,COUNTY,YEAR,SEX,GEOID,perdrop,groups,CCR,CCRMinusOne,testval,uniqueid,a,b,c,rsq,n,reduce,diff,predCCR,AGE,POPULATION,cnty_year,PopMinusOne,predPop,numdiff,perdiff
28,099,1985,1,28099,0.9868512963799976,ccr5,0.9525423728813559,0.9662162162162162,0.9858480502548299,28099_1985,-0.0548177785700417,1.007863320375994,NA,0.6253066432935344,48,0.9341130870004091,0.04998716044177143,0.9025552124395845,5,891,28099_1985,925,834.8635715066156,56.136428493384415,0.06300384791625636
28,099,1985,1,28099,0.9868512963799976,ccr6,0.9619500594530321,0.9902794653705954,0.9713925140243502,28099_1985,-0.043874230723195115,0.9959382615551652,NA,0.6582772848986715,48,0.9445408117881201,0.026590689334784368,0.9353593701182478,6,843,28099_1985,858,802.5383395614566,40.46166043854339,0.0479972247195058
28,099,1985,1,28099,0.9868512963799976,ccr7,0.9278481012658227,0.9361147327249022,0.9911692112407884,28099_1985,-0.008453601036587705,0.9715446967181456,NA,0.6902868371154468,48,0.9789126322692598,0.011473564148054116,0.9163745371177686,7,809,28099_1985,815,746.8452477509815,62.15475224901854,0.07682911279235914
28,099,1985,1,28099,0.9868512963799976,ccr8,1.044481054365733,1.0626057529610828,0.9829431578505545,28099_1985,0.04680498913847522,0.9236850813791876,NA,0.7901381957412356,48,1.0351839844193358,-0.05551140285142919,1.0999924572171622,8,733,28099_1985,718,789.7945842819224,-56.794584281922425,-0.077482379647916
28,099,1985,1,28099,0.9868512963799976,ccr9,0.9281867145421903,0.9333333333333333,0.9944857655809182,28099_1985,0.027063183855246004,0.9547803586674523,NA,0.8595102757544031,48,1.014530347889933,-0.01870827682174725,0.9468949913639375,9,634,28099_1985,628,594.6500545765527,39.34994542344725,0.06206615997389157
28,099,1985,1,28099,0.9868512963799976,ccr10,1.0869565217391304,1.0866935483870968,1.0002419940308138,28099_1985,0.04190577886625535,0.9541908681502772,NA,0.921572208914895,48,1.0297089519902052,-0.03202155310506427,1.1189780748441946,10,517,28099_1985,518,579.6306427692929,-62.630642769292876,-0.12114244249379666
28,099,1985,1,28099,0.9868512963799976,ccr11,0.8528428093645485,0.8857142857142857,0.9628870428309418,28099_1985,0.03261850137760497,0.9722553145713404,NA,0.9028586640024527,48,1.0199461323656505,-0.05053805073074191,0.9033808600952904,11,525,28099_1985,539,486.9222835913615,38.07771640863848,0.07252898363550186
28,099,1985,1,28099,0.9868512963799976,ccr12,0.9105545617173524,0.931899641577061,0.9770950873813127,28099_1985,-0.007856175085904134,1.0067825289321415,NA,0.921449744883998,48,0.9790408988471855,-0.0018133010076233358,0.9123678627249757,12,510,28099_1985,527,480.81786365606223,29.18213634393777,0.05721987518419171
28,099,1985,1,28099,0.9868512963799976,ccr14,0.8081896551724138,0.8315789473684211,0.9718736359668267,28099_1985,0.1576038362189547,0.8677146385380915,NA,0.6260200343011186,48,1.1573337181618821,-0.15422469993062504,0.9624143551030389,14,455,28099_1985,455,437.8985315718827,17.1014684281173,0.0375856448969611
28,099,1985,1,28099,0.9868512963799976,ccr15,0.6894865525672371,0.7164179104477612,0.9624083129584352,28099_1985,0.014566267892196585,1.0015479515559798,NA,0.852687950165383,48,1.0013107244609822,-0.02787038436003364,0.7173569369272708,15,375,28099_1985,395,283.35599008627196,91.64400991372804,0.24438402643660811
