type,ind,time,coefhat,tstat,y,yadj,GEOID,YEAR,perdrop
TC,6,1974,-1053.796998799044,-5.368876642780599,41354,42407.796998799044,47145,1973,0.9751508667420549
LS,5,1973,-814.9103197794866,-7.804325898077663,9702,10516.910319779487,47173,1972,0.922514284613908
AO,50,2018,-1967.3184974956737,-6.678532390833927,23792,25759.318497495675,48007,2017,0.9236269198004233
AO,6,1974,-3063.678929511453,-6.267726280696107,172214,175277.67892951146,48061,1973,0.9825209978348497
AO,5,1973,-1342.7062439411627,-14.86368816083504,7221,8563.706243941162,48077,1972,0.8432096798169451
TC,22,1990,-1453.052943259849,-5.151416808858895,28942,30395.05294325985,48221,1989,0.9521944263110071
LS,10,1978,-2725.186892012076,-5.156150096524044,33776,36501.186892012076,48227,1977,0.9253397731949243
TC,3,1971,-123.2120694857252,-5.426607013722327,352,475.2120694857252,48269,1970,0.7407219273301173
LS,19,1987,-536.0215520165436,-5.0157030156970714,4732,5268.021552016544,48383,1986,0.8982499318342082
TC,6,1974,-8437.40985305603,-13.40674557015361,77326,85763.40985305603,48479,1973,0.9016199348007223
TC,11,1990,-472.91638705184175,-5.242372051503445,17450,17922.916387051842,51005,1989,0.9736138708210739
LS,12,1980,-5724.529456014372,-16.508509250301813,47794,53518.529456014374,51015,1979,0.8930364956922213
AO,6,1974,-428.4254641128286,-7.6719793738581865,4900,5328.425464112828,51017,1973,0.9195962358865125
LS,12,1980,-11668.111857790558,-39.11214016338884,55061,66729.11185779056,51143,1979,0.8251421076507507
AO,43,2011,-983.4188107098211,-6.240106341026779,22310,23293.41881070982,51147,2010,0.9577812592174033
TC,6,1974,-4804.483759688277,-17.830652440407974,40638,43763.19086603469,51191,1973,0.9285885968506881
TC,4,1972,-876.4705678124304,-6.288112575284991,22548,23424.47056781243,51197,1971,0.962583121557642
LS,2,1970,-3421.138036902522,-11.422061432172605,18657,22078.13803690252,51520,1969,0.8450440869975422
TC,3,1971,-3181.975075794637,-16.3059079496208,14644,21247.11311269716,51520,1970,0.6892230451415456
TC,8,1976,-1269.9109821655245,-6.570739266363396,45440,46709.91098216552,51590,1975,0.972812815193538
AO,3,1971,-7607.499999999999,-9.175888192721219,35996,43603.5,51730,1970,0.8255300606602681
AO,4,1972,-5972.561306284687,-5.8083975271811115,237953,243925.56130628468,51760,1971,0.9755148198725051
AO,2,1970,-9564.999999999996,-11.137042073262743,103233,112798,51770,1969,0.9152023972056242
LS,3,1971,-19129.99999999999,-15.750163681313698,93668,112797.99999999999,51770,1970,0.8304047944112485
AO,10,1978,-515.5412724207431,-8.83770909813301,4984,5499.541272420744,53019,1977,0.9062574045937077
TC,7,1975,-4329.6079336486055,-8.279735568449857,37642,41971.60793364861,53075,1974,0.896844363444614
TC,6,1974,-1372.7328717489697,-5.590021873213944,47106,48478.73287174897,54045,1973,0.9716838128715007
LS,32,2000,-1197.6625215186407,-9.387278601378727,14602,15799.662521518641,55077,1999,0.924196955480064
LS,12,1980,-822.1941605389051,-12.43931908153332,3347,4169.194160538905,55078,1979,0.8027930269305018
AO,7,1975,-13431.24167649229,-9.819067533132028,1011862,1020482.3743709404,55079,1974,0.9915526474661023
AO,10,1978,-7097.12380703825,-5.189020463336572,974298,979744.9963212339,55079,1977,0.9944403938354507
AO,8,1976,-561.3635488026074,-5.645562001219315,24851,25412.36354880261,55123,1975,0.9779098253602209
