GEOID,YEAR,mean_mig,mean_base,SSP2,Inundated,mean_inun
01029,2075,18582.569910829076,18651.21955517614,NA,1,18651.21955517614
01029,2080,19154.20221251632,19230.91267063164,NA,1,19230.91267063164
01029,2085,19799.485030883883,19867.96614844722,NA,1,19867.96614844722
01029,2090,20531.4745285272,20556.810845018885,NA,1,20556.810845018885
01029,2095,21373.16787656506,21288.528091915123,NA,1,21288.528091915123
01029,2100,22366.87957334548,22053.810461618563,NA,1,22053.810461618563
01031,2020,52656.2285902868,52626.91581281155,NA,1,52626.91581281155
01031,2025,54110.08010024969,54054.03361743755,NA,1,54054.03361743755
01031,2030,55359.92753997133,55270.677012188266,NA,1,55270.677012188266
01031,2035,56400.395768891925,56266.00873317113,NA,1,56266.00873317113
01031,2040,57415.67176859,57220.490740990404,NA,1,57220.490740990404
01031,2045,58434.56715666257,58159.10321134021,NA,1,58159.10321134021
01031,2050,59567.5688262898,59185.1657217795,NA,1,59185.1657217795
01031,2055,60912.2328640742,60384.034258397005,NA,1,60384.034258397005
01031,2060,62501.69221227289,61772.41582001263,NA,1,61772.41582001263
01031,2065,64315.26363246152,63304.541009410255,NA,1,63304.541009410255
01031,2070,66380.89489795754,64967.69547374831,NA,1,64967.69547374831
01031,2075,68816.80241338059,66803.9201239566,NA,1,66803.9201239566
01031,2080,71784.19728728893,68828.94690249886,NA,1,68828.94690249886
01031,2085,75601.75271780635,71099.5178121023,NA,1,71099.5178121023
01031,2090,80650.59334518558,73585.85676846112,NA,1,73585.85676846112
01031,2095,87536.88597170272,76223.3374524658,NA,1,76223.3374524658
01031,2100,97335.31228559256,78966.44627867248,NA,1,78966.44627867248
01033,2020,55628.00173960142,55627.94958951898,NA,1,55627.94958951898
01033,2025,56619.63948297838,56621.45502920153,NA,1,56621.45502920153
01033,2030,57348.59607047677,57352.01340887051,NA,1,57352.01340887051
01033,2035,57859.301172761065,57865.408923164476,NA,1,57865.408923164476
01033,2040,58352.82134378598,58364.4002224707,NA,1,58364.4002224707
01033,2045,58879.953329037344,58902.2422921623,NA,1,58902.2422921623
01033,2050,59616.48719671567,59659.217682187074,NA,1,59659.217682187074
01033,2055,60689.868549135004,60770.97428727362,NA,1,60770.97428727362
01033,2060,62061.87490642992,62214.26437517596,NA,1,62214.26437517596
01033,2065,63546.33910732478,63829.44527533672,NA,1,63829.44527533672
01033,2070,65066.57905993251,65587.32204243419,NA,1,65587.32204243419
01033,2075,66528.71074600544,67478.41782773002,NA,1,67478.41782773002
01033,2080,67834.1751848648,69556.92770031739,NA,1,69556.92770031739
01033,2085,68811.95513524563,71934.0031126475,NA,1,71934.0031126475
01033,2090,68904.2269836421,74551.5754032632,NA,1,74551.5754032632
01033,2095,67130.14456994295,77309.96183911701,NA,1,77309.96183911701
01033,2100,61867.93412368035,80145.46352403381,NA,1,80145.46352403381
01035,2020,12850.100371849767,12849.640654496352,NA,1,12849.640654496352
01035,2025,12943.414110387845,12949.85015142793,NA,1,12949.85015142793
01035,2030,12982.793511811444,13003.522614854179,NA,1,13003.522614854179
01035,2035,12979.07414085711,13021.585701614635,NA,1,13021.585701614635
01035,2040,13023.850994104145,13096.314216811128,NA,1,13096.314216811128
01035,2045,13102.185309428758,13213.797073389236,NA,1,13213.797073389236
01035,2050,13245.354472271438,13407.208010270122,NA,1,13407.208010270122
01035,2055,13479.293603192378,13704.881490301774,NA,1,13704.881490301774
01035,2060,13773.733391002203,14079.314352873904,NA,1,14079.314352873904
01035,2065,14081.165722008447,14485.583479475197,NA,1,14485.583479475197
01035,2070,14402.871623558112,14928.608664581761,NA,1,14928.608664581761
01035,2075,14731.88311012262,15405.610208027627,NA,1,15405.610208027627
01035,2080,15043.734343914462,15895.534595951694,NA,1,15895.534595951694
01035,2085,15390.447479793012,16450.252355227225,NA,1,16450.252355227225
01035,2090,15758.005012837295,17052.17513057888,NA,1,17052.17513057888
01035,2095,16132.964282500518,17679.004130503956,NA,1,17679.004130503956
01035,2100,16521.907555768383,18318.440361208988,NA,1,18318.440361208988
01037,2020,10990.682687972218,10990.682687972218,NA,1,10990.682687972218
01037,2025,10974.732772734711,10975.032962668873,NA,1,10975.032962668873
01037,2030,10884.176211154068,10883.93867398817,NA,1,10883.93867398817
01037,2035,10739.117745978896,10737.738876815576,NA,1,10737.738876815576
01037,2040,10563.816272902935,10560.953814682342,NA,1,10560.953814682342
01037,2045,10415.587411912249,10411.089557625164,NA,1,10411.089557625164
01037,2050,10340.118454403188,10333.999439484978,NA,1,10333.999439484978
01037,2055,10360.780921457417,10353.206309582967,NA,1,10353.206309582967
01037,2060,10478.701339835416,10470.118719729988,NA,1,10470.118719729988
01037,2065,10673.863852604141,10665.116423939819,NA,1,10665.116423939819
01037,2070,10915.767651267868,10908.091280262679,NA,1,10908.091280262679
01037,2075,11189.184693736799,11184.149871068179,NA,1,11184.149871068179
01037,2080,11502.163910687561,11501.60064121278,NA,1,11501.60064121278
01037,2085,11871.753799933109,11877.466408625578,NA,1,11877.466408625578
01037,2090,12288.958093054516,12303.338155415442,NA,1,12303.338155415442
01037,2095,12733.21146231091,12760.60563565191,NA,1,12760.60563565191
01037,2100,13182.47890797307,13232.660568609354,NA,1,13232.660568609354
01039,2020,38197.22779641031,38176.72346025834,SSP2,1,38176.72346025834
01039,2025,38685.49111838874,38642.84890091137,SSP2,1,38642.84890091137
01039,2030,39076.624669578574,39011.32866202886,SSP2,1,39011.32866202886
01039,2035,39355.915431312176,39268.8428579396,SSP2,1,39268.8428579396
01039,2040,39692.69441836795,39585.41656386857,SSP2,1,39585.41656386857
01039,2045,40102.72271897267,39976.98742336908,SSP2,1,39976.98742336908
01039,2050,40687.58492714654,40546.049603365864,SSP2,1,40546.049603365864
01039,2055,41539.88206242447,41386.02359389916,SSP2,1,41386.02359389916
01039,2060,42602.253155273844,42441.96821160139,SSP2,1,42441.96821160139
01039,2065,43769.568592595344,43612.11384897571,SSP2,1,43612.11384897571
01039,2070,45014.66716620711,44873.74973615525,SSP2,1,44873.74973615525
01039,2075,46342.91118564105,46240.025426893386,SSP2,1,46240.025426893386
01039,2080,47727.61030921326,47704.85549581691,SSP2,1,47704.85549581691
01039,2085,49196.91948850671,49339.61681957996,SSP2,1,49339.61681957996
